Krank_Acisi_deg,Simscape_theta3_deg,Simscape_theta5_deg,Simscape_omega3_deg_s,Simscape_omega5_deg_s,Simscape_alpha3_deg_s2,Simscape_alpha5_deg_s2
18,-66.8143092686935,-68.116953500029,-196.251279373203,37.6844415694233,-1695.39795410928,-578.216086380517
19,-67.36590360678,-68.0145074692949,-200.864183310023,36.0759044577402,-1625.27743713503,-579.935718718058
20,-67.9300363655366,-67.9165362722447,-205.277286715801,34.4625461703933,-1551.58110637592,-581.688070209927
21,-68.5061390613296,-67.8230534329585,-209.480998184186,32.8442696695701,-1474.55901200734,-583.477572092961
22,-69.0936175644296,-67.7340727621785,-213.46645519623,31.2209655902701,-1394.48553424938,-585.308668297052
23,-69.6918542146046,-67.6496083915975,-217.225588466824,29.5925122084227,-1311.65699429422,-587.185813025189
24,-70.3002101057981,-67.5696748082261,-220.751179186879,27.9587754156345,-1226.38893538366,-589.113468399393
25,-70.9180275189428,-67.4942868888211,-224.036908307595,26.3196087003912,-1139.01312039312,-591.096102166898
26,-71.5446324797787,-67.4234599343574,-227.077397152064,24.6748531355563,-1049.87429934212,-593.138185459668
27,-72.1793374167684,-67.3572097045264,-229.868238795916,23.0243373720259,-959.326805788002,-595.244190599053
28,-72.8214438928918,-67.2955524522426,-232.406019828163,21.3678776384327,-867.731044865123,-597.418588935984
29,-73.4702453842605,-67.2385049581443,-234.68833228093,19.7052777468118,-775.449937681753,-599.665848715755
30,-74.1250300781584,-67.1860845650685,-236.713775696976,18.0363291041758,-682.845386832804,-601.990432955074
31,-74.7850836632796,-67.138309212487,-238.481949481703,16.360810729989,-590.274825964539,-604.396797317548
32,-75.4496920855746,-67.095197470885,-239.993435856612,14.6784892795597,-498.087912749729,-606.88938797235
33,-76.1181442442246,-67.0567685760665,-241.249773889179,12.9891190734257,-406.623419479387,-609.47263941928
34,-76.7897346037822,-67.0230424633697,-242.253425216041,11.2924421328465,-316.206368992882,-612.150972261821
35,-77.4637657004039,-66.9940398017751,-243.007732198606,9.5881882215798,-227.145456132925,-614.928790908262
36,-78.1395505223004,-66.9697820278888,-243.516869350546,7.87607489416478,-139.730786639113,-617.810481179163
37,-78.8164147469716,-66.9502913797817,-243.785788953218,6.15580755101192,-54.2319567043606,-620.800407797785
38,-79.4936988204168,-66.9355909306666,-243.820161827379,4.42707950065247,29.1035123697862,-623.902911738248
39,-80.1707598662486,-66.9257046223914,-243.626314257647,2.68957202958548,110.05137857301,-627.122307404306
40,-80.8469734154111,-66.9206572987272,-243.211162070975,0.942954480227721,188.411524920682,-630.462879609586
41,-81.5217349499748,-66.9204747384283,-242.582142853561,-0.813115662434239,264.008456239827,-633.928880328182
42,-82.1944612571617,-66.9251836880381,-241.747147254282,-2.57899267481102,336.691463293446,-637.52452518216
43,-82.8645915923206,-66.9348118944149,-240.714450269532,-4.35504248851079,406.334476107409,-641.25398963038
44,-83.5315886519691,-66.949388136947,-239.492643337052,-6.14164257309843,472.835632870895,-645.121404820526
45,-84.194939360206,-66.9689422594261,-238.090567988154,-7.93918180681368,536.116594189307,-649.130853063746
46,-84.8541554737686,-66.9935052015435,-236.517251721504,-9.74806033414971,596.121634792287,-653.286362888615
47,-85.5087740127186,-67.0231090299706,-234.781846670459,-11.5686894090502,652.816546091262,-657.591903628279
48,-86.1583575252049,-67.0577869689832,-232.893571542495,-13.4014912223707,706.187383322092,-662.051379491692
49,-86.8024941959475,-67.0975734305818,-230.861657216066,-15.2468987120912,756.239090505053,-666.668623066659
50,-87.4407978090332,-67.1425040440599,-228.695296289491,-17.1053553546302,802.994035225488,-671.447388199115
51,-88.0729075763082,-67.1926156849638,-226.403596789965,-18.9773149354438,846.490483412751,-676.391342189529
52,-88.6984878431188,-67.2479465033839,-223.995540170068,-20.8632412969279,886.781042002729,-681.504057243628
53,-89.3172276834006,-67.3085359515123,-221.479943645263,-22.7636080614599,923.931094735826,-686.789001110735
54,-89.9288403961711,-67.3744248103933,-218.865426859673,-24.6788983272265,958.017253488313,-692.249526838948
55,-90.5330629153623,-67.4456552157888,-216.160382809304,-26.6096043342794,989.125844565935,-697.888861572025
56,-91.1296551446642,-67.5222706830708,-213.372952902082,-28.5562270980495,1017.35144640097,-703.710094308353
57,-91.7183992286514,-67.6043161310481,-210.511005992473,-30.5192760073203,1042.79549216648,-709.7161625377
58,-92.2990987709697,-67.6918379046225,-207.582121194856,-32.4992683834184,1065.56494802019,-715.909837666411
59,-92.8715780097768,-67.7848837961631,-204.593574253761,-34.496728997128,1085.77107506532,-722.2937091367
60,-93.4356809599845,-67.883503065475,-201.552327229982,-36.512189539563,1103.52828070508,-728.870167140299
61,-93.991270531164,-67.9877464582306,-198.465021248944,-38.5461880429491,1118.95306289415,-735.641383821211
62,-94.5382276292604,-68.0976662227167,-195.337972050628,-40.5992682469647,1132.16304887003,-742.609292856723
63,-95.076450249532,-68.2133161247404,-192.177168078405,-42.6719789059741,1143.27612828174,-749.775567299965
64,-95.6058525674057,-68.3347514605232,-188.988270846308,-44.7648730321604,1152.40967922097,-757.14159556143
65,-96.1263640332209,-68.4620290673972,-185.776617330158,-46.8785070692027,1159.67988449054,-764.708455400913
66,-96.637928476141,-68.5952073321032,-182.547224136699,-49.0134399907941,1165.20113450328,-772.476885795293
67,-97.1405032218421,-68.7343461964733,-179.304793215976,-51.1702323179003,1169.08551247213,-780.447256541665
68,-97.6340582279545,-68.8795071602627,-176.053718895045,-53.3494450482705,1171.44235701147,-788.619535449446
69,-98.1185752406345,-69.0307532808789,-172.798096025212,-55.5516384912873,1172.37789689676,-796.993252969462
70,-98.5940469750899,-69.1881491697343,-169.541729049935,-57.7773710008291,1171.99495250521,-805.567464102585
71,-99.0604763223656,-69.3517609849279,-166.28814181589,-60.0271975983502,1170.3926983628,-814.340707425532
72,-99.5178755842241,-69.5216564199406,-163.04058796521,-62.3016684779528,1167.66648123155,-823.310961067048
73,-99.9662657375301,-69.6979046880043,-159.802061762244,-64.6013273847348,1163.90768826841,-832.475595463811
74,-100.405675729158,-69.8805765017792,-156.575309223161,-66.9267098572318,1159.20365995432,-841.831322722624
75,-100.836141802099,-70.0697440479494,-153.362839431135,-69.2783413242829,1153.63764271529,-851.374142413542
76,-101.257706853136,-70.2654809563185,-150.166935933624,-71.6567350461599,1147.28877642057,-861.099283618108
77,-101.670419822182,-70.4678622629565,-146.989668131199,-74.0623898893161,1140.23211223678,-871.001143057909
78,-102.074335113157,-70.676964366923,-143.83290257953,-76.4957879236277,1132.53865662796,-881.073219131563
79,-102.469512046054,-70.8928649800551,-140.698314137374,-78.9573918305266,1124.2754376135,-891.308041693432
80,-102.856014339691,-71.1156430692788,-137.587396903757,-81.4476421099749,1115.50558971995,-901.697097415041
81,-103.2339096245,-71.34537879087,-134.501474897008,-83.9669540738032,1106.28845438356,-912.230750581052
82,-103.603268984571,-71.5821534160498,-131.441712436871,-86.5157146125373,1096.67969287289,-922.898159185796
83,-103.96416652809,-71.8260492472707,-128.409124198619,-89.0942787224995,1086.73140910196,-933.687186214859
84,-104.316678985214,-72.0771495245063,-125.404584915038,-91.7029657796705,1076.49227999039,-944.58430601906
85,-104.660885332397,-72.3355383208234,-122.428838708244,-94.3420555465845,1066.00769129696,-955.574505716521
86,-104.996866442095,-72.6013004264753,-119.482508038719,-97.0117838983971,1055.31987710511,-966.641181592673
87,-105.324704756799,-72.8745212207167,-116.566102263674,-99.7123382542356,1044.46806137241,-977.766030509177
88,-105.644483986287,-73.1552865305033,-113.680025800978,-102.443852700038,1033.48860017131,-988.92893638116
89,-105.956288827007,-73.4436824751984,-110.824585898378,-105.206402789327,1022.41512344476,-1000.1078518394
90,-106.260204702501,-73.7397952963754,-108.000000010818,-108.000000008789,1011.27867527889,-1011.27867526041
91,-106.556317523773,-74.0437111717668,-105.206402791148,-110.82458589612,1000.10785185606,-1022.41512342431
92,-106.844713468556,-74.3555160123772,-102.443852701669,-113.680025798469,988.928936396158,-1033.48860014873
93,-107.125478778424,-74.6752952417463,-99.7123382556947,-116.56610226089,977.766030522647,-1044.46806134752
94,-107.398699572742,-75.0031335563233,-97.0117838997001,-119.482508035634,966.641181604746,-1055.31987707774
95,-107.664461678463,-75.3391146658857,-94.3420555477465,-122.428838704832,955.574505727322,-1066.00769126692
96,-107.922850474845,-75.6833210129234,-91.702965780705,-125.404584911268,944.584306028703,-1076.49227995749
97,-108.17395075214,-76.0358334698927,-89.094278723419,-128.409124194459,933.687186223446,-1086.73140906601
98,-108.417846583416,-76.3967310132454,-86.515714613353,-131.441712432289,922.898159193427,-1096.6796928337
99,-108.654621208647,-76.7660903731401,-83.9669540745254,-134.501474891969,912.23075058782,-1106.28845434093
100,-108.884356930284,-77.1439856577612,-81.4476421106136,-137.587396898222,901.697097421031,-1115.50558967369
101,-109.107135019551,-77.5304879511985,-78.9573918310899,-140.698314131304,891.308041698721,-1124.27543756343
102,-109.323035632722,-77.9256648838836,-76.4957879241236,-143.832902572884,881.073219136223,-1132.5386565739
103,-109.532137736724,-78.3295801746349,-74.0623898897517,-146.989668123933,871.001143062002,-1140.23211217857
104,-109.734519043395,-78.7422931434447,-71.6567350465417,-150.166935925694,861.099283621693,-1147.28877635807
105,-109.930255951794,-79.1638581942319,-69.2783413246168,-153.362839422494,851.374142416675,-1153.63764264838
106,-110.119423497992,-79.5943242669108,-66.9267098575232,-156.575309213761,841.831322725358,-1159.20365988292
107,-110.302095311792,-80.0337342582634,-64.6013273849883,-159.802061752036,832.475595466184,-1163.90768819245
108,-110.478343579878,-80.482124411281,-62.3016684781729,-163.040587954142,823.310961069103,-1167.66648115103
109,-110.648239014912,-80.9395236728384,-60.0271975985407,-166.288141803915,814.340707427304,-1170.39269827775
110,-110.811850830124,-81.4059530198004,-57.7773710009932,-169.541729037001,805.56746410411,-1171.99495241573
