Krank_Acisi_deg,Simscape_theta3_deg,Simscape_theta5_deg,Simscape_omega3_deg_s,Simscape_omega5_deg_s,Simscape_alpha3_deg_s2,Simscape_alpha5_deg_s2
269,-79.697924546413,-101.140698022257,150.990657722006,150.891496478989,-6.04355077022444,29.7718450450178
270,-79.2785444573205,-100.721455543966,150.95755455027,150.957554551363,-17.8196886865786,17.8196886769399
271,-78.8593019790165,-100.302075454886,150.891496477879,150.990657723083,-29.7718450547235,6.04355076066697
272,-78.4402893379515,-99.882648623166,150.791988086537,150.991288647764,-41.9047189168306,-5.56106079473633
273,-78.0216001551365,-99.4632645933208,150.658520613769,150.959917784463,-54.2232195771866,-16.9984345637589
274,-77.6033294840249,-99.0440116193202,150.490571364427,150.8970039581,-66.7324697740645,-28.2726591503106
275,-77.1855738500423,-98.6249766961409,150.287603113589,150.802994909888,-79.4378086950663,-39.3876268337964
276,-76.7684312917854,-98.2062455898015,150.049063501325,150.678327837513,-92.3447948156906,-50.3470373063989
277,-76.3520014039136,-97.7879028659124,149.774384419847,150.523429924806,-105.459208537952,-61.1544014941423
278,-75.936385381752,-97.3700319167685,149.462981393648,150.338718860695,-118.787054602589,-71.8130454558102
279,-75.5216860676256,-96.9527149870155,149.114252953273,150.124603347228,-132.334564244892,-82.3261143550652
280,-75.1080079989416,-96.5360331979213,148.727580003509,149.881483596462,-146.108197060233,-92.6965765022687
281,-74.6954574580322,-96.1200665702817,148.302325186839,149.609751816026,-160.114642541245,-102.927227463488
282,-74.2841425237724,-95.7048940459946,147.83783224312,149.309792683187,-174.360821243887,-113.020694235079
283,-73.8741731249796,-95.2905935083318,147.333425366607,148.981983807228,-188.853885534643,-122.97943948293
284,-73.4656610956017,-94.8772418009443,146.788408561534,148.626696179953,-203.601219865686,-132.805765846139
285,-73.0587202316958,-94.4649147456327,146.202064997655,148.244294614158,-218.61044051881,-142.501820305346
286,-72.6534663501954,-94.0536871589155,145.573656367314,147.835138169874,-233.889394752595,-152.06959861639
287,-72.2500173494591,-93.6436328674321,144.902422245793,147.399580568197,-249.446159280242,-161.510949810289
288,-71.8484932715895,-93.2348247222125,144.187579456908,146.937970592535,-265.28903799798,-170.827580760708
289,-71.4490163665043,-92.8273346118505,143.428321446059,146.45065247706,-281.426558875759,-180.021060820228
290,-71.0517111577365,-92.4212334746165,142.623817663193,145.937966282195,-297.867469913244,-189.0928265268
291,-70.6567045099304,-92.0165913095444,141.773212958417,145.400248256922,-314.620734054414,-198.0441863817
292,-70.2641256979966,-91.6134771865314,140.875626993323,144.837831187722,-331.695522944118,-206.876325700186
293,-69.8741064778758,-91.2119592554871,139.930153671403,144.251044733933,-349.101209398666,-215.590311535903
294,-69.4867811588542,-90.8121047545703,138.935860591334,143.64021574933,-366.847358450958,-224.187097679816
295,-69.1022866773613,-90.4139800175514,137.891788527283,143.005668589715,-384.943716817894,-232.667529734155
296,-68.7207626721676,-90.0176504803408,136.796950940861,142.347725406305,-403.400200624265,-241.032350261433
297,-68.3423515608892,-89.6231806867216,135.650333529798,141.666706424717,-422.226881203057,-249.282204008286
298,-67.967198617688,-89.2306342933283,134.450893818956,140.962930209337,-441.433968776536,-257.417643203295
299,-67.5954520520426,-88.8400740739107,133.197560799871,140.236713912873,-461.031793806406,-265.439132927512
300,-67.2272630884447,-88.4515619229265,131.889234625583,139.48837351089,-481.030785783875,-273.347056555816
301,-66.8627860468581,-88.0651588585028,130.524786368239,138.718224021133,-501.44144921244,-281.141721266677
302,-66.5021784237549,-87.6809250248098,129.103057847602,137.926579707457,-522.274336516927,-288.823363617239
303,-66.1456009735189,-87.2989196938897,127.622861539424,137.113754268182,-543.540017592364,-296.39215518001
304,-65.7932177899809,-86.9192012669846,126.082980573412,136.280061008709,-565.249045685346,-303.848208236812
305,-65.4451963878246,-86.5418272754061,124.482168831448,135.42581299825,-587.411919278852,-311.191581524917
306,-65.1017077835652,-86.1668543809924,122.819151157642,134.551323210525,-610.039039629225,-318.422286029634
307,-64.7629265757763,-85.7943383761968,121.092623692797,133.656904648315,-633.140663581031,-325.540290816942
308,-64.4290310241982,-85.4243341838529,119.301254346969,132.742870451763,-656.726851262513,-332.545528899053
309,-64.1002031273255,-85.0568958566616,117.443683424908,131.809533990352,-680.807408240748,-339.437903125112
310,-63.7766286980263,-84.6920765764446,115.518524420383,130.85720893848,-705.39182169274,-346.217292088616
311,-63.4584974366999,-84.3299286532126,113.524364996664,129.886209334634,-730.489190125777,-352.883556042477
312,-63.1460030014327,-83.9705035240896,111.459768171741,128.896849624111,-756.108146158753,-359.436542812013
313,-62.8393430745529,-83.6138517521431,109.323273728269,127.889444685346,-782.25677185574,-365.876093695658
314,-62.5387194249327,-83.2600230251637,107.113399869644,126.864309839871,-808.942506084794,-372.202049342532
315,-62.2443379653219,-82.9090661544384,104.828645145124,125.821760845991,-836.172043359171,-378.414255595658
316,-61.9564088039323,-82.5610290735654,102.467490668415,124.762113876299,-863.951223606058,-384.512569289016
317,-61.675146289422,-82.2159588373533,100.028402655704,123.685685479153,-892.284912299984,-390.496863986393
318,-61.4007690483536,-81.8739016208486,97.5098353106968,122.59279252432,-921.176870395807,-396.36703564955
319,-61.1335000141237,-81.534902718537,94.9102340857685,121.483752132977,-950.629613500464,-402.12300822303
320,-60.8735664462757,-81.1990065437597,92.2280393498819,120.358881592337,-980.64425973513,-407.764739122714
321,-60.6211999390218,-80.8662566283887,89.4616904954389,119.218498255177,-1011.22036576137,-413.292224615124
322,-60.3766364177087,-80.5366956228008,86.609630517623,118.062919424583,-1042.3557504784,-418.705505074447
323,-60.1401161218667,-80.2103652961934,83.6703111011227,116.892462224286,-1074.04630594524,-424.004670104249
324,-59.9118835733828,-79.8873065372777,80.6421982502622,115.707443454971,-1106.28579514354,-429.189863511023
325,-59.6921875282362,-79.5675593553928,77.5237784995475,114.508179436988,-1139.06563627715,-434.261288116861
326,-59.4812809101343,-79.2511628820725,74.3135657423225,113.294985839935,-1172.37467340438,-439.219210398868
327,-59.2794207242757,-78.9381553731053,71.0101087156549,112.068177499608,-1206.19893332224,-444.063964943257
328,-59.0868679493676,-78.6285742111182,67.6119991795746,110.828068222853,-1240.52136877121,-448.795958702553
329,-58.9038874059143,-78.3224559087194,64.1178808283709,109.57497058087,-1275.32158820675,-453.415675044824
330,-58.7307475986934,-78.0198361122308,60.52645897068,108.309195691575,-1310.57557259371,-457.923677584462
331,-58.5677205312328,-77.7207496060389,56.8365110134991,107.031052991644,-1346.25537992451,-462.320613784766
332,-58.4150814900126,-77.4252303175929,53.0468977829298,105.740849998859,-1382.32883844466,-466.607218323226
333,-58.2731087960215,-77.1333113230756,49.1565757112852,104.438892065463,-1418.75922989253,-470.784316211338
334,-58.1420835212287,-76.8450248537711,45.1646099160653,103.125482123188,-1455.50496442703,-474.852825661562
335,-58.0222891674606,-76.560402303151,41.0701881910918,101.800920420681,-1492.51924932864,-478.813760695005
336,-57.9140113051311,-76.2794742347007,36.8726359236793,100.465504254055,-1529.74975401779,-482.668233484424
337,-57.8175371692399,-76.0022703905023,32.571431943956,99.1195276912978,-1567.13827444054,-486.417456428088
338,-57.7331552100533,-75.7288197005902,28.1662253032251,97.7632812913086,-1604.62040042317,-490.06274395117
339,-57.6611545959023,-75.4591502930947,23.6568529674305,96.3970518183007,-1642.12519019492,-493.605514032415
340,-57.6018246655909,-75.1932895051838,19.0433583992465,95.021121952354,-1679.5748569149,-497.047289454897
341,-57.5554543279984,-74.9312638948138,14.3260109879618,93.6357699968742,-1716.88447271271,-500.389698780856
342,-57.5223314065965,-74.6730992532955,9.50532627003892,92.2412695837249,-1753.9616964515,-503.634477051715
343,-57.5027419267843,-74.4188206186828,4.58208686501245,90.8378893767965,-1790.70653213826,-506.783466215446
344,-57.4969693441839,-74.1684522899848,-0.44263596886045,89.4258927747629,-1827.01112562439,-509.838615284697
345,-57.5052937123311,-73.9220178422043,-5.56746027699195,88.0055376137654,-1862.75960794218,-512.801980230006
346,-57.5279907885588,-73.6795401422023,-10.7906709908058,86.5770758707583,-1897.82799429007,-515.67572361367
347,-57.5653310773016,-73.4410413653831,-16.1101973178459,85.1407533682214,-1932.08414828536,-518.462113970727
348,-57.6175788105494,-73.2065430131986,-21.5235901349111,83.696809480937,-1965.38782161945,-521.163524944576
349,-57.6849908657649,-72.9760659314623,-27.0279996082234,82.2454768454974,-1997.59077964562,-523.782434185667
350,-57.7678156222403,-72.7496303294664,-32.6201532942494,80.7869810731909,-2028.53702366536,-526.321422022569
351,-57.8662917576151,-72.5272557998905,-38.2963350048045,79.3215404668833,-2058.06312071938,-528.783169915547
352,-57.9806469871071,-72.308961339491,-44.0523647498794,77.849365742485,-2085.9986514913,-531.170458703553
353,-58.1110967489181,-72.0947653705569,-49.8835801004855,76.3706597555605,-2112.16678645335,-533.486166656141
354,-58.2578428402676,-71.8846857631168,-55.7848193409401,74.8856172336074,-2136.38499958413,-535.733267342518
355,-58.4210720095652,-71.6787398578825,-61.7504068043891,73.3944245144924,-2158.46592782702,-537.914827330355
356,-58.6009545113581,-71.4769444899086,-67.7741408059953,71.8972592915028,-2178.21838290074,-540.034003727508
357,-58.7976426318651,-71.2793160129513,-73.8492846039316,70.3942903654266,-2195.44852009263,-542.094041580083
358,-59.011269194114,-71.0858703245058,-79.9685608279232,68.8856774040469,-2209.9611662409,-544.09827114056
359,-59.2419460529331,-70.8966228915005,-86.1241498173156,67.3715707093869,-2221.56130624081,-546.050105019904
360,-59.4897625912599,-70.7115887766276,-92.307692304319,65.8521109930115,-2230.05572409923,-547.95303523758
