Krank_Acisi_deg,Analitik_theta3_deg,Simscape_theta3_deg,Hata_theta3_deg,Analitik_theta5_deg,Simscape_theta5_deg,Hata_theta5_deg,Analitik_omega3_deg_s,Simscape_omega3_deg_s,Hata_omega3_deg_s,Analitik_omega5_deg_s,Simscape_omega5_deg_s,Hata_omega5_deg_s,Analitik_alpha3_deg_s2,Simscape_alpha3_deg_s2,Hata_alpha3_deg_s2,Analitik_alpha5_deg_s2,Simscape_alpha5_deg_s2,Hata_alpha5_deg_s2
73,-99.9662657651441,-99.9662657375301,2.76139786592466e-08,-69.6979046874515,-69.6979046880043,-5.52816459276073e-10,-159.802061696286,-159.802061762244,-6.59585452922329e-08,-64.6013273839898,-64.6013273847348,-7.45046691008611e-10,1163.90768785488,1163.90768826841,4.13526095144334e-07,-832.475595457681,-832.475595463811,-6.12988060311181e-09
74,-100.405675754625,-100.405675729158,2.54666900900702e-08,-69.8805765011381,-69.8805765017792,-6.41136921331054e-10,-156.575309163019,-156.575309223161,-6.01419003487536e-08,-66.9267098563492,-66.9267098572318,-8.8256513208762e-10,1159.20365956652,1159.20365995432,3.87800355383661e-07,-841.831322715349,-841.831322722624,-7.27561655367026e-09
75,-100.836141825554,-100.836141802099,2.34546320143636e-08,-70.0697440472085,-70.0697440479494,-7.40897121431772e-10,-153.362839376397,-153.362839431135,-5.47384502169734e-08,-69.2783413232412,-69.2783413242829,-1.0417409157526e-09,1153.63764235312,1153.63764271529,3.62168066203594e-07,-851.374142404942,-851.374142413542,-8.5996134657762e-09
76,-101.257706874708,-101.257706853136,2.1572560626737e-08,-70.2654809554652,-70.2654809563185,-8.53248138810159e-10,-150.166935883893,-150.166935933624,-4.97311418712343e-08,-71.6567350449346,-71.6567350461599,-1.22533094781829e-09,1147.28877608366,1147.28877642057,3.36906850861851e-07,-861.099283607987,-861.099283618108,-1.01211981018423e-08
77,-101.670419841997,-101.670419822182,1.98152605435098e-08,-70.467862261977,-70.4678622629565,-9.79468950390583e-10,-146.989668086097,-146.989668131199,-4.51017001523724e-08,-74.0623898878802,-74.0623898893161,-1.43590739298816e-09,1140.23211192452,1140.23211223678,3.12254996970296e-07,-871.001143046042,-871.001143057909,-1.186674580822e-08
78,-102.074335131334,-102.074335113157,1.81770190010866e-08,-70.6769643658021,-70.676964366923,-1.12089537651627e-09,-143.832902538699,-143.83290257953,-4.08318214795145e-08,-76.4957879219505,-76.4957879236277,-1.677221916907e-09,1132.53865633956,1132.53865662796,2.88396677206038e-07,-881.073219117702,-881.073219131563,-1.38608129418571e-08
79,-102.469512062706,-102.469512046054,1.66522511335643e-08,-70.8928649787759,-70.8928649800551,-1.27913324377005e-09,-140.698314100472,-140.698314137374,-3.69020654034102e-08,-78.9573918285734,-78.9573918305266,-1.95315408291208e-09,1124.27543734802,1124.2754376135,2.6547741072136e-07,-891.308041677298,-891.308041693432,-1.61340949489386e-08
80,-102.856014354926,-102.856014339691,1.52354431293134e-08,-71.1156430678231,-71.1156430692788,-1.45566048104229e-09,-137.587396870464,-137.587396903757,-3.32930767399375e-08,-81.4476421077074,-81.4476421099749,-2.26748397835763e-09,1115.50558947636,1115.50558971995,2.43599288296537e-07,-901.697097396328,-901.697097415041,-1.87134219231666e-08
81,-103.23390963842,-103.2339096245,1.39207259053364e-08,-71.3453787892176,-71.34537879087,-1.65239555371954e-09,-134.501474867023,-134.501474897008,-2.99855855701026e-08,-83.9669540711777,-83.9669540738032,-2.62546961948829e-09,1106.28845416072,1106.28845438356,2.22845073949429e-07,-912.230750559416,-912.230750581052,-2.16355147131253e-08
82,-103.603268997274,-103.603268984571,1.27026709151323e-08,-71.5821534141787,-71.5821534160498,-1.87108639693179e-09,-131.441712409911,-131.441712436871,-2.69605777702964e-08,-86.5157146095058,-86.5157146125373,-3.03148794955632e-09,1096.67969266963,1096.67969287289,2.03260015041451e-07,-922.898159160862,-922.898159185796,-2.49345930569689e-08
83,-103.964166539665,-103.96416652809,1.15757217145074e-08,-71.826049245157,-71.8260492472707,-2.11377937375801e-09,-128.40912417442,-128.409124198619,-2.41992665905855e-08,-89.0942787190084,-89.0942787224995,-3.49106699104595e-09,1086.73140891709,1086.73140910196,1.84865939445444e-07,-933.687186186211,-933.687186214859,-2.86485146716586e-08
84,-104.316678995749,-104.316678985214,1.05346344980717e-08,-72.0771495221237,-72.0771495245063,-2.38260611240548e-09,-125.404584893355,-125.404584915038,-2.16835758237721e-08,-91.70296577566,-91.7029657796705,-4.0104879417413e-09,1076.49227982271,1076.49227999039,1.67672624229454e-07,-944.584305986245,-944.58430601906,-3.2815478334669e-08
85,-104.660885341971,-104.660885332397,9.57409440616175e-09,-72.3355383181434,-72.3355383208234,-2.6799824581758e-09,-122.428838688848,-122.428838708244,-1.93960261185566e-08,-94.3420555419882,-94.3420555465845,-4.59638727079437e-09,1066.00769114529,1066.00769129696,1.51668928083382e-07,-955.574505679039,-955.574505716521,-3.74824367099791e-08
86,-104.996866450785,-104.996866442095,8.68912763962726e-09,-72.601300423467,-72.6013004264753,-3.00831004551583e-09,-119.482508021399,-119.482508038719,-1.73198628772298e-08,-97.0117838931417,-97.0117838983971,-5.25537302564771e-09,1055.31987696828,1055.31987710511,1.36828248287202e-07,-966.641181549987,-966.641181592673,-4.2685655898822e-08
87,-105.324704764674,-105.324704756799,7.87493092957448e-09,-72.8745212173465,-72.8745212207167,-3.37027472596674e-09,-116.566102248236,-116.566102263674,-1.54387294060143e-08,-99.7123382482401,-99.7123382542356,-5.99551697177958e-09,1044.46806124929,1044.46806137241,1.23119434647379e-07,-977.766030460698,-977.766030509177,-4.8478568714927e-08
88,-105.644483993413,-105.644483986287,7.12678627223795e-09,-73.1552865267346,-73.1552865305033,-3.76870445961686e-09,-113.68002578724,-113.680025800978,-1.37376048314763e-08,-102.443852693213,-102.443852700038,-6.82499035065121e-09,1033.48860006081,1033.48860017131,1.10499286165577e-07,-988.928936326256,-988.92893638116,-5.49039214092772e-08
89,-105.956288833447,-105.956288827007,6.44025988094654e-09,-73.4436824709917,-73.4436824751984,-4.20668300193938e-09,-110.824585886176,-110.824585898378,-1.22019514492422e-08,-105.206402781574,-105.206402789327,-7.75312969381048e-09,1022.41512334584,1022.41512344476,9.89210775514948e-08,-1000.10785177739,-1000.1078518394,-6.20153741692775e-08
90,-106.260204708312,-106.260204702501,5.81121639697812e-09,-73.739795291688,-73.7397952963754,-4.68733674097166e-09,-108,-108.000000010818,-1.08183542124607e-08,-108,-108.000000008789,-8.78929995451472e-09,1011.27867519055,1011.27867527889,8.83334223544807e-08,-1011.27867519055,-1011.27867526041,-6.98531721354811e-08
91,-106.556317529008,-106.556317523773,5.235449407337e-09,-74.0437111665528,-74.0437111717668,-5.21404786013591e-09,-105.206402781574,-105.206402791148,-9.57346912855428e-09,-110.824585886176,-110.82458589612,-9.94391768927017e-09,1000.10785177739,1000.10785185606,7.86769760452444e-08,-1022.41512334584,-1022.41512342431,-7.84717713031569e-08
92,-106.844713473265,-106.844713468556,4.70930672236136e-09,-74.3555160065867,-74.3555160123772,-5.79051118165808e-09,-102.443852693213,-102.443852701669,-8.45605541144323e-09,-113.68002578724,-113.680025798469,-1.12285221121056e-08,988.928936326256,988.928936396158,6.99022848493769e-08,-1033.48860006081,-1033.48860014873,-8.79149411048274e-08
93,-107.125478782654,-107.125478778424,4.22917878495355e-09,-74.6752952353258,-74.6752952417463,-6.42044994947355e-09,-99.7123382482401,-99.7123382556947,-7.45458805795352e-09,-116.566102248236,-116.56610226089,-1.26544250633742e-08,977.766030460698,977.766030522647,6.19490947428858e-08,-1044.46806124929,-1044.46806134752,-9.82297478913097e-08
94,-107.398699576533,-107.398699572742,3.79149867058004e-09,-75.0031335492154,-75.0031335563233,-7.10788583546673e-09,-97.0117838931417,-97.0117838997001,-6.55846577046759e-09,-119.482508021399,-119.482508035634,-1.42349279030896e-08,966.641181549987,966.641181604746,5.47594254385331e-08,-1055.31987696828,-1055.31987707774,-1.09454958874267e-07
95,-107.664461681857,-107.664461678463,3.39318262376764e-09,-75.3391146580287,-75.3391146658857,-7.85696840921446e-09,-94.3420555419882,-94.3420555477465,-5.758280963164e-09,-122.428838688848,-122.428838704832,-1.59831898827179e-08,955.574505679039,955.574505727322,4.82834821013967e-08,-1066.00769114529,-1066.00769126692,-1.2162740858912e-07
96,-107.922850477876,-107.922850474845,3.03120373246202e-09,-75.6833210042512,-75.6833210129234,-8.67217408995202e-09,-91.70296577566,-91.702965780705,-5.04502395415329e-09,-125.404584893355,-125.404584911268,-1.79131944832989e-08,944.584305986245,944.584306028703,4.24581685365411e-08,-1076.49227982271,-1076.49227995749,-1.34773245008546e-07
97,-108.173950754843,-108.17395075214,2.70270561486541e-09,-76.0358334603348,-76.0358334698927,-9.55790824264113e-09,-89.0942787190084,-89.094278723419,-4.41056613453839e-09,-128.40912417442,-128.409124194459,-2.00396357286081e-08,933.687186186211,933.687186223446,3.72352815247723e-08,-1086.73140891709,-1086.73140906601,-1.48915432873764e-07
98,-108.417846585821,-108.417846583416,2.4050592628555e-09,-76.3967310027263,-76.3967310132454,-1.05191162447227e-08,-86.5157146095058,-86.515714613353,-3.84716258849949e-09,-131.441712409911,-131.441712432289,-2.23787139930209e-08,922.898159160862,922.898159193427,3.25652536048437e-08,-1096.67969266963,-1096.6796928337,-1.6406465874752e-07
99,-108.654621210782,-108.654621208647,2.13577777685714e-09,-76.7660903615795,-76.7660903731401,-1.15605871542357e-08,-83.9669540711777,-83.9669540745254,-3.34769367782428e-09,-134.501474867023,-134.501474891969,-2.4945961740741e-08,912.230750559416,912.23075058782,2.84035195363685e-08,-1106.28845416072,-1106.28845434093,-1.80211372935446e-07
100,-108.884356932177,-108.884356930284,1.89258742011589e-09,-77.1439856450737,-77.1439856577612,-1.26874226680229e-08,-81.4476421077074,-81.4476421106136,-2.90627610866068e-09,-137.587396870464,-137.587396898222,-2.77580909369135e-08,901.697097396327,901.697097421031,2.47040361500694e-08,-1115.50558947635,-1115.50558967369,-1.97338977159234e-07
101,-109.107135021224,-109.107135019551,1.67327129929618e-09,-77.5304879372937,-77.5304879511985,-1.39047955372007e-08,-78.9573918285735,-78.9573918310899,-2.51644394211326e-09,-140.698314100472,-140.698314131304,-3.08322967157437e-08,891.308041677298,891.308041698721,2.14237161344499e-08,-1124.27543734802,-1124.27543756343,-2.15404043046874e-07
102,-109.323035634198,-109.323035632722,1.47588252730202e-09,-77.9256648686656,-77.9256648838836,-1.52179779888684e-08,-76.4957879219505,-76.4957879241236,-2.17310969219398e-09,-143.832902538699,-143.832902572884,-3.41858878982748e-08,881.073219117703,881.073219136223,1.85202679858776e-08,-1132.53865633956,-1132.5386565739,-2.34336312132655e-07
103,-109.532137738023,-109.532137736724,1.2985310604563e-09,-78.3295801580027,-78.3295801746349,-1.663225646098e-08,-74.0623898878801,-74.0623898897517,-1.87158377684682e-09,-146.989668086097,-146.989668123933,-3.78362869923876e-08,871.001143046043,871.001143062002,1.59594719661982e-08,-1140.23211192452,-1140.23211217857,-2.54047336056828e-07
104,-109.734519044535,-109.734519043395,1.13945475277433e-09,-78.7422931252916,-78.7422931434447,-1.81530737108915e-08,-71.6567350449346,-71.6567350465417,-1.60711977059691e-09,-150.166935883893,-150.166935925694,-4.18010301928007e-08,861.099283607987,861.099283621693,1.37057440952049e-08,-1147.28877608366,-1147.28877635807,-2.74409785561147e-07
105,-109.930255952791,-109.930255951794,9.97090410237433e-10,-79.1638581744461,-79.1638581942319,-1.97858014416852e-08,-69.2783413232411,-69.2783413246168,-1.37568179070513e-09,-153.362839376397,-153.362839422494,-4.60971421034628e-08,851.374142404943,851.374142416675,1.17323679660331e-08,-1153.63764235312,-1153.63764264838,-2.95259951599292e-07
106,-110.119423498862,-110.119423497992,8.69960103955236e-10,-79.5943242453752,-79.5943242669108,-2.15355271393491e-08,-66.9267098563492,-66.9267098575232,-1.1740155514417e-09,-156.575309163019,-156.575309213761,-5.07416473283229e-08,841.831322715349,841.831322725358,1.00087618193356e-08,-1159.20365956652,-1159.20365988292,-3.16395471600117e-07
107,-110.302095312548,-110.302095311792,7.56685381020361e-10,-80.0337342348559,-80.0337342582634,-2.34074377658544e-08,-64.6013273839898,-64.6013273849883,-9.98454652290093e-10,-159.802061696286,-159.802061752036,-5.57500356990204e-08,832.475595457682,832.475595466184,8.50263859319966e-09,-1163.90768785488,-1163.90768819245,-3.37566007146961e-07
108,-110.478343580534,-110.478343579878,6.55916210234864e-10,-80.4821243858746,-80.482124411281,-2.54064644877872e-08,-62.3016684773267,-62.3016684781729,-8.46249292862922e-10,-163.040587893006,-163.040587954142,-6.11368022873648e-08,823.310961061907,823.310961069103,7.19626314094057e-09,-1167.66648079256,-1167.66648115103,-3.58462557414896e-07
109,-110.648239015478,-110.648239014912,5.66615199204534e-10,-80.9395236453013,-80.9395236728384,-2.75371405678015e-08,-60.0271975978262,-60.0271975985407,-7.14493353370926e-10,-166.288141736999,-166.288141803915,-6.69154758270452e-08,814.34070742124,814.340707427304,6.06371486355783e-09,-1170.39269789902,-1170.39269827775,-3.78727236238774e-07
110,-110.811850830611,-110.811850830124,4.87617057842726e-10,-81.4059529899968,-81.4059530198004,-2.9803587153765e-08,-57.7773710003926,-57.7773710009932,-6.00621774538013e-10,-169.541728963905,-169.541729037001,-7.30964302420034e-08,805.56746409902,805.56746410411,5.08998709847219e-09,-1171.9949520178,-1171.99495241573,-3.97931898987736e-07
111,-110.969246719414,-110.969246718996,4.17941237174091e-10,-81.8814247217205,-81.8814247539301,-3.220966959816e-08,-55.5516384909256,-55.5516384914284,-5.02851094097423e-10,-172.798095931581,-172.79809601127,-7.96891583831894e-08,796.993252966519,796.99325297077,4.25097823608667e-09,-1172.37789638742,-1172.377896803,-4.15585645896499e-07
112,-111.120492839984,-111.120492839628,3.5666403164214e-10,-82.3659417315145,-82.3659417662729,-3.47584006021862e-08,-53.349445047972,-53.3494450483913,-4.19206003243744e-10,-176.053718793348,-176.053718880046,-8.66984635194967e-08,788.619535447028,788.619535450561,3.53350060322555e-09,-1171.44235648256,-1171.44235691368,-4.31121179644833e-07
113,-111.265653803734,-111.265653803431,3.02975422528107e-10,-82.8594967345852,-82.8594967720373,-3.74521249568716e-08,-51.1702323176559,-51.1702323180035,-3.47597506333841e-10,-179.304793105748,-179.304793199875,-9.41271594001591e-08,780.447256539692,780.447256542613,2.92095592158148e-09,-1169.0855119267,-1169.0855123706,-4.43898443336366e-07
114,-111.404792668069,-111.404792667813,2.56065391113225e-10,-83.3620714770886,-83.362071517381,-4.02923916453801e-08,-49.0134399905949,-49.0134399908816,-2.86661361315055e-10,-182.547224017478,-182.547224119451,-1.01972858601584e-07,772.476885793695,772.476885796096,2.40072495216737e-09,-1165.20113394523,-1165.20113439843,-4.53200300398748e-07
115,-111.537970932746,-111.53797093253,2.15209183807019e-10,-83.8736359166553,-83.873635959935,-4.32796980476269e-08,-46.8785070690416,-46.8785070692768,-2.35218067246024e-10,-185.776617201493,-185.776617311722,-1.10228484118124e-07,764.708455399627,764.70845540159,1.96223481907509e-09,-1159.67988392465,-1159.67988438287,-4.5822594074707e-07
116,-111.665248539594,-111.665248539414,1.79909420694457e-10,-84.3941473789636,-84.394147425377,-4.64134473077138e-08,-44.764873032031,-44.7648730322227,-1.9171864096279e-10,-188.988270707766,-188.988270826648,-1.18882297783784e-07,757.141595560403,757.141595561996,1.59332103066845e-09,-1152.40967865297,-1152.40967911106,-4.58087470178725e-07
117,-111.786683875355,-111.786683875206,1.49356083056773e-10,-84.9235496931805,-84.9235497428721,-4.96916214842713e-08,-42.6719789058711,-42.6719789060265,-1.5543832887488e-10,-192.177167929575,-192.177168057491,-1.27916138126238e-07,749.775567299152,749.775567300435,1.28295596368844e-09,-1143.27612771848,-1143.27612817032,-4.51843561677379e-07
118,-111.902333777361,-111.902333777237,1.23165477816656e-10,-85.4617723096508,-85.4617723627617,-5.31108952372961e-08,-40.5992682468831,-40.599268247008,-1.24892096664553e-10,-195.33797189113,-195.337972028435,-1.3730488035435e-07,742.609292856086,742.609292857114,1.02784269984113e-09,-1132.16304831945,-1132.16304875791,-4.38457391283009e-07
119,-112.012253541831,-112.01225354173,1.00811803349643e-10,-86.0087294038084,-86.0087294604747,-5.66662947676377e-08,-38.5461880428855,-38.5461880429851,-9.96038806988508e-11,-198.465021078438,-198.465021225455,-1.47016237406206e-07,735.641383820716,735.641383821531,8.146798791131e-10,-1118.95306236543,-1118.95306278226,-4.16835973737761e-07
120,-112.116496934574,-112.116496934492,8.18403123048483e-11,-86.5643189709211,-86.564319031272,-6.035089938905e-08,-36.5121895395137,-36.5121895395927,-7.89555087976623e-11,-201.552327048179,-201.552327205189,-1.57010390466894e-07,728.87016713992,728.87016714056,6.40284270048141e-10,-1103.52828020863,-1103.52828059447,-3.8583539208048e-07
121,-112.215116203875,-112.215116203809,6.58104681861005e-11,-87.1284219169453,-87.1284219811014,-6.41560689018661e-08,-34.4967289970903,-34.4967289971522,-6.19380102762079e-11,-204.593574060425,-204.593574227664,-1.67238567883032e-07,722.293709136413,722.293709136912,4.98403096571565e-10,-1085.77107461287,-1085.77107495715,-3.44277395925019e-07
122,-112.308162095407,-112.308162095355,5.23669996255194e-11,-87.7009011514662,-87.7009012195371,-6.80708751588099e-08,-32.49926838339,-32.499268383438,-4.80042672279524e-11,-207.582120989823,-207.582121167466,-1.77643244114734e-07,715.909837666196,715.909837666579,3.82783582608681e-10,-1065.56494762475,-1065.5649479157,-2.90952584691695e-07
123,-112.395683868974,-112.395683868933,4.12399003835162e-11,-88.2816006894117,-88.2816007614941,-7.20824573363643e-08,-30.5192760072991,-30.519276007336,-3.68132191397308e-11,-210.511005775654,-210.511005963813,-1.88159020808598e-07,709.716162537543,709.716162537835,2.9194779926911e-10,-1042.79549184237,-1042.79549206704,-2.24667246584431e-07
124,-112.477729316946,-112.477729316914,3.20028448186349e-11,-88.8703447689582,-88.8703448451334,-7.61751977051972e-08,-28.556227098034,-28.5562270980617,-2.77253775493591e-11,-213.372952673479,-213.372952872189,-1.98709301457711e-07,703.71009430824,703.710094308459,2.19301909964997e-10,-1017.35144616374,-1017.35144630799,-1.44259047374362e-07
125,-112.554344784224,-112.554344784199,2.45279352384387e-11,-89.4669369937735,-89.4669370741049,-8.03314321728976e-08,-26.6096043342682,-26.6096043342891,-2.08615347219165e-11,-216.160382569016,-216.160382778225,-2.09209446211389e-07,697.888861571944,697.888861572105,1.61662683240138e-10,-989.125844432299,-989.125844480922,-4.86221551909694e-08
126,-112.625575189616,-112.625575189597,1.8502532839193e-11,-90.071159508456,-90.0711595929868,-8.45308250063681e-08,-24.6788983272188,-24.6788983272341,-1.52198253999813e-11,-218.865426607905,-218.865426827471,-2.19566402392957e-07,692.249526838893,692.24952683901,1.17211129690986e-10,-958.01725347602,-958.017253412778,6.3241941461456e-08
127,-112.691464048494,-112.69146404848,1.36850530907395e-11,-90.6827722167226,-90.682772305473,-8.87504398860983e-08,-22.7636080614547,-22.7636080614657,-1.10134124042816e-11,-221.479943382338,-221.479943612016,-2.29677624474789e-07,686.789001110698,686.789001110781,8.34461388876662e-11,-923.931094863495,-923.931094671306,1.92188849723607e-07
128,-112.75205349662,-112.75205349661,9.9333874459262e-12,-91.3015120525348,-91.3015121454999,-9.29650951775329e-08,-20.8632412969244,-20.8632412969322,-7.7697848155367e-12,-223.995539896434,-223.995540135867,-2.39433660453869e-07,681.504057243604,681.504057243664,5.96855898038484e-11,-886.781042289638,-886.781041950738,3.38899667440273e-07
129,-112.807384315039,-112.807384315032,6.96331881044898e-12,-91.9270923149419,-91.9270924120888,-9.7146894972866e-08,-18.9773149354416,-18.9773149354468,-5.20117282576393e-12,-226.403596506199,-226.403596754917,-2.48718123430081e-07,676.391342189516,676.391342189555,3.89945853385143e-11,-846.49048387856,-846.490483374746,5.038142489866e-07
130,-112.857495955942,-112.857495955937,4.77484718430787e-12,-92.5592020779138,-92.5592021791796,-1.01265783314375e-07,-17.1053553546289,-17.1053553546324,-3.48876483258209e-12,-228.695295996307,-228.695296253717,-2.57409283221932e-07,671.447388199106,671.447388199133,2.66027200268582e-11,-802.994035889922,-802.994035202807,6.87114834363456e-07
131,-112.902426569419,-112.902426569416,3.16902060149005e-12,-93.1975056868328,-93.1975057921222,-1.05289444718437e-07,-15.2468987120904,-15.2468987120928,-2.31992203225673e-12,-230.861656914317,-230.8616571797,-2.6538310748947e-07,666.668623066653,666.66862306667,1.67119651450776e-11,-756.239091387563,-756.239090498925,8.88637714524521e-07
132,-112.942213031017,-112.942213031015,2.00373051484348e-12,-93.8416423535831,-93.8416424627669,-1.0918384418801e-07,-13.4014912223703,-13.4014912223717,-1.424638185199e-12,-232.893571233169,-232.893571505683,-2.72513403842822e-07,662.05137949169,662.051379491699,9.32232069317251e-12,-706.187384441403,-706.187383333541,1.10786186269252e-06
133,-112.97689097003,-112.976890970028,1.20792265079217e-12,-94.4912258622904,-94.4912259752038,-1.12913340899468e-07,-11.56868940905,-11.5686894090507,-7.40740802029904e-13,-234.781846354683,-234.781846633358,-2.78674747278274e-07,657.591903628278,657.591903628284,5.91171556152403e-12,-652.816547464964,-652.816546121084,1.34387960315507e-06
134,-113.006494798457,-113.006494798456,6.96331881044898e-13,-95.145844397715,-95.1458445141559,-1.16440901365422e-07,-9.74806033414954,-9.74806033415017,-6.3593574850529e-13,-236.517251400535,-236.517251684281,-2.83746629747839e-07,653.286362888614,653.286362888617,2.95585778076202e-12,-596.121636436343,-596.12163484103,1.59531316512584e-06
135,-113.031057740574,-113.031057740574,3.12638803734444e-13,-95.8050605080456,-95.8050606277746,-1.19728994718571e-07,-7.93918180681382,-7.93918180681402,-2.02504679691629e-13,-238.090567663371,-238.090567950984,-2.8761314752046e-07,649.130853063746,649.130853063748,1.81898940354586e-12,-536.116596117553,-536.11659425721,1.86034253601974e-06
136,-113.050611863053,-113.050611863053,1.56319401867222e-13,-96.468411213384,-96.4684113361238,-1.22739848507081e-07,-6.14164257309843,-6.14164257309848,-4.61852778244065e-14,-239.492643009944,-239.492643300113,-2.90169310801502e-07,645.121404820526,645.121404820527,1.47792889038101e-12,-472.835635094536,-472.835632957855,2.13668079140916e-06
137,-113.065188105585,-113.065188105585,4.2632564145606e-14,-97.1354082705059,-97.1354083959419,-1.25436045550487e-07,-4.35504248851091,-4.35504248851098,-7.72715225139109e-14,-240.714449941682,-240.714450233005,-2.9132309009583e-07,641.25398963038,641.25398963038,0,-406.334478634508,-406.334476212955,2.42155334717609e-06
138,-113.074816311962,-113.074816311962,2.8421709430404e-14,-97.8055386035473,-97.8055387313285,-1.27781177639008e-07,-2.57899267481104,-2.57899267481106,-2.22044604925031e-14,-241.747146927348,-241.747147218345,-2.90996354124218e-07,637.52452518216,637.52452518216,0,-336.691466128485,-336.69146341674,2.71174513954975e-06
139,-113.079525261572,-113.079525261572,1.4210854715202e-14,-98.4782649090601,-98.4782650388005,-1.29740428178593e-07,-0.813115662434296,-0.813115662434239,5.6621374255883e-14,-242.582142529257,-242.582142818388,-2.89131492081651e-07,633.928880328181,633.928880328181,0,-264.008459383268,-264.008456379659,3.00360960636681e-06
140,-113.079342701273,-113.079342701273,2.8421709430404e-14,-99.1530264424243,-99.1530265737061,-1.31281822746132e-07,0.942954480227757,0.942954480227734,-2.29816166097407e-14,-243.211161751043,-243.211162036735,-2.85691896806384e-07,630.462879609586,630.462879609587,4.54747350886464e-13,-188.411528368604,-188.411525075447,3.29315744806991e-06
141,-113.074295377609,-113.074295377609,2.8421709430404e-14,-99.8292399908889,-99.829240123265,-1.32376086980912e-07,2.68957202958549,2.68957202958544,-5.06261699229071e-14,-243.626313943831,-243.626314224495,-2.80663982721308e-07,627.122307404305,627.122307404306,2.27373675443232e-13,-110.051382316843,-110.051378740747,3.57609660284197e-06
142,-113.064409069333,-113.064409069333,0,-100.506301036547,-100.506301169545,-1.3299789713983e-07,4.42707950065246,4.42707950065251,4.35207425653061e-14,-243.820161521397,-243.820161795458,-2.74061761729172e-07,623.902911738249,623.902911738249,-1.13686837721616e-13,-29.1035163961494,-29.1035125482333,3.84791613683433e-06
143,-113.049708620218,-113.049708620218,0,-101.183585110359,-101.183585243486,-1.33126832224661e-07,6.15580755101189,6.15580755101182,-6.48370246381091e-14,-243.785788656731,-243.785788922655,-2.65924455788991e-07,620.800407797783,620.800407797784,3.41060513164848e-13,54.2319524137319,54.2319565177716,4.10403971073947e-06
144,-113.030217972112,-113.030217972112,2.8421709430404e-14,-101.860449335948,-101.860449468695,-1.32747089764962e-07,7.87607489416492,7.87607489416491,-1.06581410364015e-14,-243.516869065128,-243.516869321448,-2.56319964364593e-07,617.810481179162,617.810481179161,-7.95807864051312e-13,139.730782107225,139.730786447118,4.33989313819438e-06
145,-113.005960198226,-113.005960198225,1.4210854715202e-13,-102.536234159318,-102.536234291168,-1.31849205331491e-07,9.58818822158008,9.58818822158011,2.66453525910038e-14,-243.007731925715,-243.007732171059,-2.45343841243084e-07,614.928790908261,614.928790908261,3.41060513164848e-13,227.145451387372,227.14545593844,4.55106825825169e-06
146,-112.976957536631,-112.976957536631,2.8421709430404e-13,-103.210265257967,-103.210265388396,-1.30429469891169e-07,11.2924421328471,11.2924421328471,1.59872115546023e-14,-242.253424956991,-242.253425190108,-2.33117162906638e-07,612.150972261818,612.150972261819,6.82121026329696e-13,316.206364065434,316.206368798863,4.73342953455358e-06
147,-112.943231423935,-112.943231423935,5.11590769747272e-13,-103.881855620094,-103.881855748585,-1.28491052464597e-07,12.9891190734263,12.9891190734261,-2.04281036531029e-13,-241.249773645114,-241.249773864902,-2.19787551714035e-07,609.472639419275,609.472639419277,1.81898940354586e-12,406.623414405492,406.623419288791,4.88329942527344e-06
148,-112.904802529118,-112.904802529117,9.52127265918534e-13,-104.550307781839,-104.550307907883,-1.26043957493494e-07,14.6784892795607,14.6784892795604,-3.92574861507455e-13,-239.993435628484,-239.993435834007,-2.05522724172624e-07,606.889387972345,606.889387972347,1.59161572810262e-12,498.087907567874,498.087912565399,4.99752451332824e-06
149,-112.861690787517,-112.861690787516,1.53477230924182e-12,-105.21491620773,-105.214916330834,-1.23104754834458e-07,16.3608107299903,16.3608107299899,-4.2277292777726e-13,-238.481949270257,-238.481949460768,-1.90510405673194e-07,604.39679731754,604.396797317543,2.38742359215394e-12,590.274820715497,590.27482578911,5.07361301060882e-06
150,-112.813915434937,-112.813915434935,2.37321273743873e-12,-105.874969796917,-105.874969916614,-1.19697190825718e-07,18.0363291041777,18.0363291041769,-8.4909856923332e-13,-236.713775502732,-236.713775677682,-1.74950258724493e-07,601.990432955064,601.990432955068,3.29691829392686e-12,682.845381558787,682.845386668666,5.10987831603416e-06
151,-112.761495041864,-112.76149504186,3.5242919693701e-12,-106.529754495312,-106.529754611163,-1.15851037207904e-07,19.7052777468143,19.7052777468131,-1.16884280032536e-12,-234.68833210418,-234.688332263232,-1.59052092385537e-07,599.665848715743,599.665848715748,4.88853402202949e-12,775.449932425528,775.449937530959,5.105431228003e-06
152,-112.704447547768,-112.704447547763,5.00222085975111e-12,-107.178555991567,-107.17855610317,-1.11602673769085e-07,21.3678776384361,21.3678776384346,-1.48858703141741e-12,-232.406019668966,-232.406019811997,-1.43031286370388e-07,597.41858893597,597.418588935976,6.25277607468888e-12,867.731039669017,867.731044729304,5.06028732161212e-06
153,-112.642790295488,-112.642790295481,6.93489710101858e-12,-107.820662472916,-107.820662579909,-1.06993525150756e-07,23.02433737203,23.0243373720278,-2.1564972030319e-12,-229.868238654105,-229.868238781205,-1.27099809787978e-07,595.244190599038,595.244190599045,7.61701812734827e-12,959.326800693009,959.32680566838,4.97537109822588e-06
