Krank_Acisi_deg,Analitik_theta3_deg,Simscape_theta3_deg,Hata_theta3_deg,Analitik_theta5_deg,Simscape_theta5_deg,Hata_theta5_deg,Analitik_omega3_deg_s,Simscape_omega3_deg_s,Hata_omega3_deg_s,Analitik_omega5_deg_s,Simscape_omega5_deg_s,Hata_omega5_deg_s,Analitik_alpha3_deg_s2,Simscape_alpha3_deg_s2,Hata_alpha3_deg_s2,Analitik_alpha5_deg_s2,Simscape_alpha5_deg_s2,Hata_alpha5_deg_s2
10,-62.9113614627558,-62.9113614418189,2.09369375170354e-08,-69.0960605130092,-69.0960605132676,-2.58410182141233e-10,-153.487134844695,-153.487134835582,9.11288111637987e-09,50.3867900044907,50.3867900044543,-3.64437369171355e-11,-2106.87998878827,-2106.87998975653,-9.68260792433284e-07,-565.111398369152,-565.111398368928,2.24076757149305e-10
11,-63.3457982899714,-63.3457982656057,2.43656756993005e-08,-68.9582794994558,-68.9582794996849,-2.29107399718487e-10,-159.290755773906,-159.290755765682,8.22458900984202e-09,48.8147920898637,48.8147920898296,-3.40207861881936e-11,-2070.96985678009,-2070.96985793212,-1.15203420136822e-06,-566.726422732383,-566.726422732203,1.80534698301926e-10
12,-63.7962119003262,-63.7962118721956,2.8130578755281e-08,-68.8248713737056,-68.824871373908,-2.02334149435046e-10,-164.98831490282,-164.988314896119,6.70027588967059e-09,47.2383116935784,47.2383116935469,-3.14699377668148e-11,-2030.51597759634,-2030.51597895246,-1.35611912810418e-06,-568.339487744866,-568.339487744727,1.3926637620898e-10
13,-64.2622901606435,-64.2622901284135,3.22300195421121e-08,-68.6958485849704,-68.6958485851483,-1.77863057615468e-10,-170.567207848647,-170.567207844219,4.42872760686441e-09,45.6573483863797,45.6573483863504,-2.92885715680313e-11,-1985.53544247824,-1985.5354440582,-1.57995668814692e-06,-569.954827206983,-569.954827206879,1.04705577541608e-10
14,-64.7436860285219,-64.7436859918649,3.66569850029919e-08,-68.571223600034,-68.5712236001896,-1.55637280840892e-10,-176.014917793771,-176.014917792473,1.29813315652427e-09,44.0718899295729,44.0718899295461,-2.68585154117318e-11,-1936.07437074766,-1936.07437257,-1.82234271051129e-06,-571.576709609083,-571.576709609006,7.74207364884205e-11
15,-65.2400179087154,-65.2400178673169,4.13985077329926e-08,-68.4510089361861,-68.4510089363216,-1.35500499709451e-10,-181.319097324121,-181.319097326917,-2.79621303889144e-09,42.4819121828475,42.4819121828231,-2.4414248400717e-11,-1882.20871896351,-1882.20872104497,-2.08146343538829e-06,-573.209435129642,-573.20943512959,5.27506927028298e-11
16,-65.7508702395041,-65.7508701930685,4.64356020302148e-08,-68.3352171944012,-68.3352171945185,-1.17339027383423e-10,-186.467652014443,-186.467652022393,-7.95083110460837e-09,40.8873790203455,40.8873790203233,-2.22755147660791e-11,-1824.04472441037,-1824.04472676519,-2.35482480093197e-06,-574.8573327006,-574.857332700566,3.38786776410416e-11
17,-66.2757943124596,-66.2757942607166,5.17429583624107e-08,-68.2238610927385,-68.2238610928396,-1.01039177025086e-10,-191.448824705284,-191.448824719532,-1.4248826119001e-08,39.2882422547863,39.2882422547664,-1.99165128833556e-11,-1761.71895572376,-1761.71895836307,-2.63930655819422e-06,-576.524757143689,-576.524757143671,1.78488335222937e-11
18,-66.8143093259828,-66.8143092686935,5.72892844274975e-08,-68.1169534999426,-68.116953500029,-8.64162075231434e-11,-196.251279351447,-196.251279373203,-2.17553690617933e-08,37.6844415694412,37.6844415694233,-1.78772552317241e-11,-1695.39795117813,-1695.39795410928,-2.93115613203554e-06,-578.216086380523,-578.216086380517,5.57065504835919e-12
19,-67.3659036698173,-67.36590360678,6.30372340992835e-08,-68.0145074692215,-68.0145074692949,-7.33848537493031e-11,-200.864183279509,-200.864183310023,-3.05137177747383e-08,36.0759044577561,36.0759044577402,-1.59161572810262e-11,-1625.27743390894,-1625.27743713503,-3.22609093927895e-06,-579.935718718054,-579.935718718058,-3.97903932025656e-12
20,-67.9300364344806,-67.9300363655366,6.89440327050761e-08,-67.9165362721829,-67.9165362722447,-6.18882722847047e-11,-205.277286675258,-205.277286715801,-4.05429432248638e-08,34.4625461704072,34.4625461703933,-1.38768996293948e-11,-1551.58110285656,-1551.58110637592,-3.51935750586563e-06,-581.688070209915,-581.688070209927,-1.15960574476048e-11
21,-68.5061391362916,-68.5061390613296,7.49620028273057e-08,-67.8230534329067,-67.8230534329585,-5.17701437274809e-11,-209.480998132351,-209.480998184186,-5.18351441769482e-08,32.8442696695822,32.8442696695701,-1.21360699267825e-11,-1474.55900820144,-1474.55901200734,-3.80590176973783e-06,-583.477572092946,-583.477572092961,-1.47792889038101e-11
22,-69.0936176454687,-69.0936175644296,8.10390901051505e-08,-67.7340727621356,-67.7340727621785,-4.29167812399101e-11,-213.46645513188,-213.46645519623,-6.43500186470192e-08,31.2209655902806,31.2209655902701,-1.05266906302859e-11,-1394.48553016896,-1394.48553424938,-4.0804150103213e-06,-585.308668297033,-585.308668297052,-1.88720150617883e-11
23,-69.6918543017247,-69.6918542146046,8.71200995788968e-08,-67.6496083915623,-67.6496083915975,-3.52002871295554e-11,-217.225588388805,-217.225588466824,-7.80196103278286e-08,29.5925122084318,29.5925122084227,-9.05941988094128e-12,-1311.65698995659,-1311.65699429422,-4.33762284046679e-06,-587.185813025169,-587.185813025189,-1.97815097635612e-11
24,-70.3002101989453,-70.3002101057981,9.31472641241271e-08,-67.5696748081975,-67.5696748082261,-2.85353962681256e-11,-220.751179094135,-220.751179186879,-9.27435905850871e-08,27.958775415642,27.9587754156345,-7.48912043491146e-12,-1226.38893081134,-1226.38893538366,-4.57232476946956e-06,-589.113468399374,-589.113468399393,-1.93267624126747e-11
25,-70.9180276180044,-70.9180275189428,9.90615944829187e-08,-67.4942868887982,-67.4942868888211,-2.286526523676e-11,-224.036908199202,-224.036908307595,-1.0839247011063e-07,26.3196087003975,26.3196087003912,-6.33093577562249e-12,-1139.01311561348,-1139.01312039312,-4.77964249512297e-06,-591.096102166878,-591.096102166898,-1.90993887372315e-11
26,-71.5446325845825,-71.5446324797787,1.04803845601964e-07,-67.4234599343393,-67.4234599343574,-1.80619963430217e-11,-227.077397027256,-227.077397152064,-1.24808764212503e-07,24.6748531355614,24.6748531355563,-5.10169684275752e-12,-1049.87429438699,-1049.87429934212,-4.95513177156681e-06,-593.13818545965,-593.138185459668,-1.76214598468505e-11
27,-72.1793375270842,-72.1793374167684,1.10315809820349e-07,-67.3572097045123,-67.3572097045264,-1.406874616805e-11,-229.868238654105,-229.868238795916,-1.41810318154967e-07,23.02433737203,23.0243373720259,-4.17799128626939e-12,-959.32680069301,-959.326805788002,-5.09499216150289e-06,-595.244190599038,-595.244190599053,-1.55750967678614e-11
28,-72.8214440084331,-72.8214438928918,1.15541268996822e-07,-67.2955524522319,-67.2955524522426,-1.07291953099775e-11,-232.406019668966,-232.406019828163,-1.59197213633888e-07,21.3678776384361,21.3678776384327,-3.39284156325448e-12,-867.731039669016,-867.731044865123,-5.19610739502241e-06,-597.41858893597,-597.418588935984,-1.4210854715202e-11
29,-73.4702455046877,-73.4702453842605,1.20427216643293e-07,-67.2385049581362,-67.2385049581443,-8.01492205937393e-12,-234.68833210418,-234.68833228093,-1.76750432956396e-07,19.7052777468143,19.7052777468118,-2.52953213930596e-12,-775.449932425528,-775.449937681753,-5.2562249948096e-06,-599.665848715743,-599.665848715755,-1.17097442853265e-11
30,-74.1250302030834,-74.1250300781584,1.24925009004073e-07,-67.1860845650626,-67.1860845650685,-5.84066128794802e-12,-236.713775502732,-236.713775696976,-1.94244279327904e-07,18.0363291041777,18.0363291041758,-1.85451654033386e-12,-682.845381558787,-682.845386832804,-5.27401721228671e-06,-601.990432955064,-601.990432955074,-1.00044417195022e-11
31,-74.7850837922704,-74.7850836632796,1.28990805592366e-07,-67.1383092124828,-67.138309212487,-4.14956957683899e-12,-238.481949270257,-238.481949481703,-2.11446092635015e-07,16.3608107299903,16.360810729989,-1.31450406115619e-12,-590.274820715499,-590.274825964539,-5.24904066878662e-06,-604.39679731754,-604.396797317548,-7.73070496506989e-12
