Krank_Acisi_deg,theta2_deg,theta3_deg,theta4_deg,theta5_deg,omega2_deg_s,omega3_deg_s,omega4_deg_s,omega5_deg_s,alpha2_deg_s2,alpha3_deg_s2,alpha4_deg_s2,alpha5_deg_s2,Kisit_Kalintisi_mm,Newton_Iterasyon,Jacobian_Cond
8.5,-26.9812327204447,-62.2902592619073,-150.295347127483,-69.3109039202002,-196.057370919038,-144.610411768035,118.761936447382,52.7363543742962,-850.181796359795,-2152.25655417383,159.288169920908,-562.676020280673,7.105427357601e-15,4,3.2060516338621
9,-27.2543471411803,-62.4931785100193,-150.13024757206,-69.2382019500599,-197.221953686,-147.59006494195,118.980548035156,51.9542941578781,-826.675617724516,-2138.25716933172,155.50675416971,-563.490218608883,1.4210854715202e-14,4,3.21280571126942
9.5,-27.529056092872,-62.7002223018621,-149.96484804775,-69.1665869590935,-198.353298923082,-150.549494476905,119.193883632967,51.1711049607633,-802.320268612326,-2123.13347132444,151.690734190291,-564.301838606801,1.4210854715202e-14,4,3.21934122035573
10,-27.8053125943621,-62.9113614627558,-149.799155915714,-69.0960605130092,-199.450229703563,-153.487134844695,119.401895136436,50.3867900044907,-777.119554021236,-2106.87998878827,147.840047755903,-565.111398369152,2.8421709430404e-14,4,3.22565382678362
10.5,-28.0830680340049,-63.1265646389097,-149.633178603984,-69.0266241735416,-200.511575386835,-156.401414025914,119.604534353149,49.6013517891698,-751.07872626895,-2089.49285457251,143.954630297886,-565.919418643675,2.8421709430404e-14,4,3.23173929901906
11,-28.362272179804,-63.3457982899714,-149.466923607588,-68.9582794994558,-201.536173649837,-159.290755773906,119.801752999302,48.8147920898637,-724.204514984569,-2070.96985678009,140.034414755251,-566.726422732383,1.4210854715202e-14,4,3.23759351561036
11.5,-28.6428731923972,-63.5690266847672,-149.300398488683,-68.8910280475573,-202.52287255744,-162.153581946926,119.993502696129,48.0271119531104,-696.505153156931,-2051.31048588649,136.079331425118,-567.532936393607,2.8421709430404e-14,4,3.24321247239791
12,-28.9248176409422,-63.7962119003262,-149.133610876684,-68.8248713737056,-203.470532666113,-164.98831490282,120.179734966139,47.2383116935784,-667.990398980933,-2030.51597759634,132.089307814059,-568.339487744866,1.4210854715202e-14,4,3.24859228963196
12.5,-29.2080505219425,-64.0273138242703,-148.966568468408,-68.7598110338337,-204.378029154882,-167.793379950074,120.360401229127,46.448390890857,-638.67155325721,-2008.58935110888,128.064268490441,-569.146607166625,2.8421709430404e-14,4,3.25372921897507
13,-29.4925152810494,-64.2622901606435,-148.799279028219,-68.6958485849704,-205.244253977224,-170.567207848647,120.535452798,45.6573483863797,-608.561472116909,-1985.53544247824,124.004134937839,-569.954827206983,2.8421709430404e-14,4,3.25861965036606
13.5,-29.7781538378625,-64.5010964392452,-148.631750388177,-68.6329855862681,-206.068118027274,-173.308237353552,120.704840874388,44.8651822804792,-577.674574861941,-1961.36093277147,119.908825409597,-570.764682487342,2.8421709430404e-14,4,3.26326011872208
14,-30.0649066137454,-64.7436860285219,-148.463990448199,-68.571223600034,-206.848553313409,-176.014917793771,120.868516544055,44.0718899295729,-546.026846731981,-1936.07437074766,115.778254784609,-571.576709609083,2.8421709430404e-14,4,3.2676473104554
14.5,-30.3527125626608,-64.9900101520603,-148.29600717622,-68.5105641927648,-207.584515132064,-178.685711678717,121.026430772117,43.2774679434769,-513.635836432704,-1909.68618980444,111.612334424388,-572.391447061305,2.8421709430404e-14,4,3.27177806978211
15,-30.6415092050212,-65.2400179087154,-148.127808608368,-68.4510089361861,-208.274984234389,-181.319097324121,121.178534398055,42.4819121828474,-480.520648284706,-1882.20871896351,107.410972031508,-573.209435129642,1.4210854715202e-14,4,3.2756494047997
15.5,-30.9312326645388,-65.4936562963942,-147.959402849137,-68.3925594082941,-208.918968978199,-183.913571488916,121.324778130539,41.685217756749,-446.701928879771,-1853.65618769495,103.174071509472,-574.031215806195,2.8421709430404e-14,4,3.27925849331155
16,-31.2218177080505,-65.7508702395041,-147.790798071578,-68.3352171944012,-209.515507457528,-186.467652014443,121.46511254205,40.8873790203455,-412.201848159787,-1824.04472441037,98.9015328240848,-574.8573327006,2.8421709430404e-14,4,3.28260268837659
16.5,-31.5131977882797,-66.0116026200636,-147.622002517486,-68.2789838881848,-210.063669601999,-188.979880457087,121.599488063322,40.0883895727153,-377.04407486398,-1793.39234848759,94.5932518664054,-575.688330952249,2.8421709430404e-14,4,3.28567952356312
17,-31.8053050894887,-66.2757943124596,-147.453024497606,-68.2238610927385,-210.562559238157,-191.448824705284,121.727854977584,39.2882422547863,-341.253746321763,-1761.71895572376,90.249120317327,-576.524757143689,2.8421709430404e-14,4,3.28848671788686
17.5,-32.0980705759634,-66.543384221823,-147.283872391841,-68.169850421627,-211.01131610494,-193.873081571714,121.850163414618,38.4869291473914,-304.857432601123,-1729.04629714999,85.8690255138694,-577.367159215193,2.8421709430404e-14,4,3.29102218041412
18,-32.3914240432606,-66.8143093259828,-147.114554649465,-68.1169534999426,-211.409117815449,-196.251279351447,121.966363344641,37.6844415694412,-267.883095056022,-1695.39795117813,81.4528503172371,-578.216086380523,2.8421709430404e-14,4,3.29328401451209
18.5,-32.6852941721379,-67.0885047209428,-146.945079789354,-68.0651719653646,-211.755181757297,-198.582080336776,122.07640457199,36.8807700762135,-230.360039350307,-1660.79928908879,77.0004729827159,-579.072089043882,5.6843418860808e-14,4,3.29527052172944
19,-32.9796085850767,-67.3659036698173,-146.77545640022,-68.0145074692215,-212.048766923951,-200.864183279509,122.180236728642,36.0759044577561,-192.318863069818,-1625.27743390894,72.5117670314649,-579.935718718054,2.8421709430404e-14,4,3.29698020529191
19.5,-33.2742939052959,-67.6464376551433,-146.605693140854,-67.9649616775543,-212.289175669625,-203.096325791621,122.277809267545,35.2698337374041,-153.791398068682,-1588.86121276747,67.9866011242704,-580.807527943714,2.8421709430404e-14,4,3.29841177319876
20,-33.5692758181456,-67.9300364344806,-146.435798740377,-67.9165362721828,-212.475755380552,-205.277286675258,122.369071455788,34.4625461704071,-114.810647729473,-1551.58110285656,63.4248389373245,-581.688070209915,1.4210854715202e-14,4,3.29956414090759
20.5,-33.8644791347606,-68.2166280991922,-146.265781998509,-67.8692329517731,-212.607900055704,-207.405888173358,122.453972367586,33.6540292426668,-75.4107193501617,-1513.46917116666,58.8263390400892,-582.577899875718,2.8421709430404e-14,4,3.30043643359664
21,-34.159827857842,-68.5061391362916,-146.095651785836,-67.8230534329067,-212.685051790358,-209.480998132351,122.532460877108,32.8442696695822,-35.6267519027752,-1474.55900820144,54.1909547753077,-583.477572092946,1.4210854715202e-14,4,3.30102798799537
21.5,-34.455245249428,-68.7984944932277,-145.925417044095,-67.7779994511519,-212.706702156277,-211.501532068762,122.604485651134,32.0332533950019,4.50516056042643,-1434.8856559174,49.5185341412257,-584.38764273005,2.1316282072803e-14,4,3.3013383537757
22,-34.7506539005075,-69.0936176454687,-145.75508678647,-67.7340727621356,-212.672393472656,-213.46645513188,122.669995141553,31.2209655902806,44.9480495483048,-1394.48553016896,44.8089196760823,-585.308668297033,2.8421709430404e-14,4,3.30136729449828
22.5,-35.0459758023188,-69.3914306667355,-145.58467009789,-67.691275142617,-212.58171996245,-215.374783955073,122.728937577699,30.4073906534403,85.664156487479,-1353.39633797516,40.0619483449331,-586.241205871412,3.5527136788005e-14,4,3.30111478810986
23,-35.3411324191723,-69.6918543017247,-145.41417613535,-67.6496083915623,-212.434328789167,-217.225588388805,122.781260958534,29.5925122084318,126.615020436857,-1311.65698995659,35.2774514288648,-587.185813025169,2.8421709430404e-14,4,3.30058102698971
23.5,-35.6360447626276,-69.9948080411531,-145.24361412823,-67.60907433122,-212.229920969717,-219.017993108896,122.826913044678,28.776313104499,167.761568780024,-1269.30750832197,30.4552544166672,-588.143047752654,2.8421709430404e-14,4,3.29976641754488
24,-35.93063346685,-70.3002101989453,-145.072993378639,-67.5696748081975,-211.968252159464,-220.751179094135,122.86584135029,27.958775415642,209.064210495323,-1226.38893081134,25.5951768990191,-589.113468399374,2.8421709430404e-14,4,3.29867157935595
24.5,-36.2248188649669,-70.6079779913805,-144.902323261754,-67.5314116945381,-211.649133306193,-222.424384967916,122.897993134808,27.1398804401774,250.482931586313,-1182.94321102805,20.6970324652549,-590.09763359162,1.4210854715202e-14,4,3.29729734387692
25,-36.5185210662392,-70.9180276180044,-144.731613226188,-67.4942868887982,-211.272431170268,-224.036908199202,122.923315394536,26.3196087003975,291.977392241056,-1139.01311561348,15.7606286027721,-591.096102166878,1.4210854715202e-14,4,3.29564475269439
25.5,-36.8116600338623,-71.2302743441101,-144.560872794357,-67.458302317126,-210.838068708924,-225.588106158758,122.941754854107,25.4979399423248,333.507025277629,-1094.64211873675,10.7857665991459,-592.109433104939,7.105427357601e-15,4,3.29371505535336
26,-37.1041556632038,-71.5446325845825,-144.390111562865,-67.4234599343393,-210.346025323174,-227.077397027256,122.953257957804,24.6748531355614,375.031135425455,-1049.87429438699,5.77224144701486,-593.13818545965,1.4210854715202e-14,4,3.29150970675847
26.5,-37.3959278602899,-71.8610159889005,-144.219339202896,-67.389761725004,-209.79633696652,-228.504260552549,122.957770860752,23.8503264732337,416.508998987588,-1004.75420696672,0.71984175180183,-594.182918291226,2.1316282072803e-14,4,3.28903036416116
27,-37.6868966203452,-72.1793375270842,-144.048565460628,-67.3572097045123,-209.189096115245,-229.868238654105,122.955239419987,23.02433737203,457.899963427914,-959.32680069301,-4.37165035765696,-595.244190599038,4.2632564145606e-14,4,3.28627888374515
27.5,-37.976982106197,-72.4995095763748,-143.877800157648,-67.3258059201616,-208.524451600696,-231.168935873299,122.945609185395,22.1968624723315,499.16354642946,-913.637288316524,-9.50245931551508,-596.322561254785,1.4210854715202e-14,4,3.28325731682376
28,-38.2661047263491,-72.8214440084331,-143.707053191386,-67.2955524522319,-207.802608304621,-232.406019668966,122.928825390543,21.3678776384361,540.259533975562,-867.731039669017,-14.6728162022693,-597.41858893597,1.4210854715202e-14,4,3.27996790566428
28.5,-38.5541852125411,-73.1450522768402,-143.536334535563,-67.266451415064,-207.02382671921,-233.57922055834,122.904832943393,20.5373579588736,581.148077014325,-821.653470546185,-19.8829588250023,-598.532832059559,1.4210854715202e-14,4,3.27641307895598
29,-38.841144696601,-73.4702455046877,-143.365654240649,-67.2385049581362,-206.188422374116,-234.68833210418,122.873576416901,19.7052777468143,621.789786278741,-775.449932425529,-25.1331317944316,-599.665848715743,0,4,3.27259544693941
29.5,-39.1269047864138,-73.7969345720433,-143.195022434331,-67.2117152671415,-205.296765133303,-235.733210749596,122.835000039518,18.8716105405683,662.145824849696,-729.165603508078,-30.4235865986924,-600.818196601674,2.8421709430404e-14,4,3.26851779621585
30,-39.4113876408233,-74.1250302030834,-143.024449322004,-67.1860845650626,-204.349278365123,-236.713775502732,122.789047685591,18.0363291041777,702.177998066697,-682.845381558788,-35.7545816737751,-601.990432955064,1.4210854715202e-14,4,3.26418308425684
30.5,-39.6945160432966,-74.4544430526841,-142.853945187266,-67.1616151132475,-203.346437989588,-237.630007474138,122.735662865663,17.1994054281011,741.848840411545,-636.533779002928,-41.1263824705342,-603.183114487528,2.1316282072803e-14,4,3.25959443363447
31,-39.9762134741815,-74.7850837922704,-142.683520392431,-67.1383092124829,-202.28877140727,-238.481949270257,122.674788716686,16.3608107299903,781.121699012753,-590.274820715498,-46.5392615181852,-604.39679731754,2.8421709430404e-14,4,3.25475512599403
31.5,-40.2564041813982,-75.116863194724,-142.513185379054,-67.1161692040672,-201.176856314766,-239.269704247073,122.60636799215,15.5205154555618,819.960813443401,-544.111944917584,-51.9934984842004,-605.632036902867,1.4210854715202e-14,4,3.249668595791
32,-40.5350132494089,-75.4496922181614,-142.342950668472,-67.0951974708822,-200.011319412075,-239.993435628484,122.530343052128,14.6784892795607,858.331391511822,-498.087907567875,-57.4893802305155,-606.889387972345,1.4210854715202e-14,4,3.24433842381516
32.5,-40.811966666321,-75.7834820883958,-142.172826862356,-67.0753964384625,-198.792835007658,-240.653365494543,122.446655853248,13.834701106822,896.199680772828,-452.244690609879,-63.027200865948,-608.169404456844,1.4210854715202e-14,4,3.23876833052475
33,-41.0871913889853,-76.1181443799064,-142.002824643279,-67.0567685760646,-197.522123527291,-241.249773645114,122.355247938589,12.9891190734263,933.533035516845,-406.623414405493,-68.6072617947339,-609.472639419275,0,4,3.2329621692139
